,id,uri,song_name,artist_name,key,mode,danceability,energy,loudness,acousticness,speechiness,instrumentalness,liveness,tempo,valence,duration_ms,time_signature,popularity
1978,6RHEIXw8U4SWBda3fxXAXT,spotify:track:6RHEIXw8U4SWBda3fxXAXT,Heartaches,Toosii,0,0,0.77,0.585,-8.289,0.131,0.183,0.0,0.102,87.533,0.732,198128,4,61
1979,4RTPe8icsISnFUp3IvEX4j,spotify:track:4RTPe8icsISnFUp3IvEX4j,If I Want You,DDG,4,0,0.645,0.456,-9.208,0.423,0.054,0.000125,0.195,75.027,0.078,193101,4,58
1980,3Tv0qk6Zz09z8tueWLRW3i,spotify:track:3Tv0qk6Zz09z8tueWLRW3i,Little Miss,NLE Choppa,4,0,0.682,0.588,-6.164,0.285,0.297,1.47e-06,0.108,83.934,0.336,190371,4,54
1981,6lTwy0Ri81LRujvv5mEHTg,spotify:track:6lTwy0Ri81LRujvv5mEHTg,Love is...,Toosii,2,1,0.559,0.418,-10.762,0.217,0.504,0.0,0.149,81.777,0.107,230017,4,62
1982,0g2Bbgy7P41pFjMWJuzsf4,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,4,0,0.718,0.461,-7.676,0.068,0.0797,0.0,0.283,129.953,0.181,178176,4,79
1983,3NWOO9SW0Irf9aUUC3om4i,spotify:track:3NWOO9SW0Irf9aUUC3om4i,Light Breeze,Kalan.FrFr,5,1,0.828,0.653,-6.121,0.265,0.209,0.0,0.105,97.048,0.429,158351,4,45
1984,4XJRpBOG0bU3Nxnvam3FnC,spotify:track:4XJRpBOG0bU3Nxnvam3FnC,LOVE YOU BETTER,Future,5,1,0.709,0.357,-9.289,0.478,0.214,0.000294,0.112,75.494,0.544,129480,4,70
1985,1hs54MGy1J69I52GvzsrbB,spotify:track:1hs54MGy1J69I52GvzsrbB,Poison (feat. Lil Wayne),Jack Harlow,4,0,0.549,0.485,-8.477,0.179,0.322,0.0,0.368,112.029,0.626,222643,5,61
1986,74d9XLd9OMpvb4RaXCmeVM,spotify:track:74d9XLd9OMpvb4RaXCmeVM,No Mop,Roddy Ricch,6,0,0.633,0.533,-7.514,0.106,0.319,0.0,0.0968,98.125,0.132,174787,4,50
1987,2ui0S7VkIT47mTGLlioGsw,spotify:track:2ui0S7VkIT47mTGLlioGsw,Only Us (feat. Babyface Ray),Ryan Trey,10,0,0.57,0.508,-8.843,0.197,0.269,0.0,0.142,179.255,0.51,204201,4,44
1988,6B2Uwx4edHAudfLdL82tlT,spotify:track:6B2Uwx4edHAudfLdL82tlT,Lonely,Toosii,8,1,0.828,0.556,-8.127,0.301,0.106,0.0,0.111,130.102,0.731,176728,4,54
